code,date,open,high,low,close,volume
sh.600000,2022-01-04,8.5400,8.5800,8.5200,8.5700,37707647
sh.600000,2022-01-05,8.5700,8.6800,8.5600,8.6400,55459135
sh.600000,2022-01-06,8.6600,8.6600,8.5600,8.5700,41031062
sh.600000,2022-01-07,8.5700,8.7300,8.5700,8.7100,63018297
sh.600000,2022-01-10,8.7200,8.7800,8.6600,8.7200,34055312
sh.600000,2022-01-11,8.7400,8.7800,8.6900,8.7300,42646106
sh.600000,2022-01-12,8.7500,8.7500,8.6300,8.6900,41240670
sh.600000,2022-01-13,8.7300,8.8500,8.6900,8.7200,48923692
sh.600000,2022-01-14,8.7200,8.7200,8.5700,8.5900,51060652
sh.600000,2022-01-17,8.5700,8.6300,8.5700,8.5700,22177975
sh.600000,2022-01-18,8.5800,8.6600,8.5500,8.6300,39995195
sh.600000,2022-01-19,8.6300,8.6600,8.6100,8.6400,26257662
sh.600000,2022-01-20,8.6600,8.8200,8.6400,8.8000,82842044
sh.600000,2022-01-21,8.7800,8.8000,8.7200,8.7600,47572539
sh.600000,2022-01-24,8.7900,8.7900,8.6600,8.6900,32489722
sh.600000,2022-01-25,8.6800,8.6800,8.5600,8.5600,43312412
sh.600000,2022-01-26,8.5700,8.5900,8.5400,8.5700,23481959
sh.600000,2022-01-27,8.5500,8.5600,8.4500,8.4500,56281031
sh.600000,2022-01-28,8.4800,8.5100,8.4100,8.4100,43993766
sh.600000,2022-02-07,8.4800,8.5500,8.4400,8.5200,39988312
sh.600000,2022-02-08,8.5300,8.6700,8.5100,8.6500,47572520
sh.600000,2022-02-09,8.6400,8.7100,8.6200,8.6400,36223235
sh.600000,2022-02-10,8.6600,8.7100,8.6200,8.6900,28716174
sh.600000,2022-02-11,8.7000,8.7600,8.6700,8.7400,37682874
sh.600000,2022-02-14,8.6900,8.7100,8.5800,8.6000,34727078
sh.600000,2022-02-15,8.5900,8.6300,8.5200,8.5500,31680750
sh.600000,2022-02-16,8.5800,8.6400,8.5600,8.5900,28609574
sh.600000,2022-02-17,8.6000,8.6300,8.5600,8.5600,24533221
sh.600000,2022-02-18,8.5500,8.6700,8.5300,8.6700,34384620
sh.600000,2022-02-21,8.6400,8.6400,8.5500,8.6000,24334270
sh.600000,2022-02-22,8.5700,8.5900,8.5300,8.5800,32497174
sh.600000,2022-02-23,8.5900,8.5900,8.5300,8.5400,29476392
sh.600000,2022-02-24,8.5400,8.5500,8.4000,8.4400,47703559
sh.600000,2022-02-25,8.4400,8.4800,8.4100,8.4300,32239910
sh.600000,2022-02-28,8.4400,8.4500,8.3600,8.3900,23393262
sh.600000,2022-03-01,8.3900,8.4600,8.3900,8.4400,23540305
sh.600000,2022-03-02,8.4100,8.4600,8.4000,8.4200,16708051
sh.600000,2022-03-03,8.4400,8.5000,8.4300,8.4600,19864647
sh.600000,2022-03-04,8.4400,8.4400,8.3600,8.4000,26395729
sh.600000,2022-03-07,8.3800,8.4000,8.2800,8.2900,37177243
sh.600000,2022-03-08,8.2900,8.3000,8.0500,8.0800,46688059
sh.600000,2022-03-09,8.1100,8.1300,7.7600,7.9000,46035702
sh.600000,2022-03-10,8.0100,8.0500,7.9200,7.9200,25181489
sh.600000,2022-03-11,7.8900,8.0200,7.7700,8.0100,33286005
sh.600000,2022-03-14,7.9500,8.0000,7.9000,7.9100,22770866
sh.600000,2022-03-15,7.9200,7.9300,7.6100,7.6300,48962295
sh.600000,2022-03-16,7.6900,7.8000,7.5200,7.7700,41520083
sh.600000,2022-03-17,7.8500,7.8500,7.7100,7.7400,41495556
sh.600000,2022-03-18,7.7300,7.9100,7.7100,7.9000,53179530
sh.600000,2022-03-21,7.8400,7.8400,7.7300,7.7600,38823962
sh.600000,2022-03-22,7.7700,7.8800,7.7500,7.8300,28224469
sh.600000,2022-03-23,7.8300,7.8400,7.7700,7.8000,25553686
sh.600000,2022-03-24,7.7800,7.8300,7.7600,7.8000,16687677
sh.600000,2022-03-25,7.8000,7.8600,7.7800,7.8000,16474442
sh.600000,2022-03-28,7.8000,7.8700,7.7100,7.8600,28783984
sh.600000,2022-03-29,7.8300,7.8600,7.8000,7.8200,22516978
sh.600000,2022-03-30,7.8400,7.9200,7.8200,7.9200,29854369
sh.600000,2022-03-31,7.8900,8.0200,7.8600,8.0000,25969772
sh.600000,2022-04-01,7.9500,8.0700,7.9400,8.0700,31881345
sh.600000,2022-04-06,8.0000,8.1800,8.0000,8.1700,42546117
sh.600000,2022-04-07,8.1600,8.1800,8.0600,8.0700,31712143
sh.600000,2022-04-08,8.0700,8.1200,8.0200,8.1100,24089173
sh.600000,2022-04-11,8.1100,8.1100,7.9700,8.0100,30015679
sh.600000,2022-04-12,8.0200,8.1500,7.9800,8.1100,31331939
sh.600000,2022-04-13,8.0900,8.1400,8.0500,8.1000,18501150
sh.600000,2022-04-14,8.1100,8.1500,8.1000,8.1100,18973150
sh.600000,2022-04-15,8.1100,8.1800,8.0900,8.1500,21811956
sh.600000,2022-04-18,8.1200,8.1400,8.0100,8.0300,21022369
sh.600000,2022-04-19,8.0400,8.1400,8.0300,8.1400,24564490
sh.600000,2022-04-20,8.1300,8.1500,8.0800,8.1100,19143935
sh.600000,2022-04-21,8.0800,8.1600,7.9900,8.0700,29228035
sh.600000,2022-04-22,8.0100,8.1200,8.0100,8.0900,27612017
sh.600000,2022-04-25,8.0200,8.1000,7.8100,7.8200,53311550
sh.600000,2022-04-26,7.8400,7.9900,7.7900,7.8700,38204259
sh.600000,2022-04-27,7.9100,7.9500,7.8100,7.8300,38688614
sh.600000,2022-04-28,7.8600,7.9900,7.8600,7.9900,45175169
sh.600000,2022-04-29,7.9800,8.0600,7.8600,8.0300,44512846
sh.600000,2022-05-05,8.0300,8.0800,7.9600,7.9900,29133140
sh.600000,2022-05-06,7.9400,7.9800,7.8200,7.8500,31795578
sh.600000,2022-05-09,7.8500,7.8600,7.8000,7.8200,16035420
sh.600000,2022-05-10,7.8000,7.8900,7.7100,7.8500,32991018
sh.600000,2022-05-11,7.8400,7.9000,7.8100,7.8600,25116815
sh.600000,2022-05-12,7.8300,7.9100,7.8300,7.8700,22352229
sh.600000,2022-05-13,7.9100,8.0500,7.9000,8.0500,37343358
sh.600000,2022-05-16,8.0500,8.0700,7.9300,7.9700,20990826
sh.600000,2022-05-17,8.0100,8.0400,7.9500,8.0200,18714191
sh.600000,2022-05-18,7.9800,8.0100,7.9200,7.9500,19463913
sh.600000,2022-05-19,7.9200,7.9800,7.8900,7.9100,19904191
sh.600000,2022-05-20,7.9400,8.0500,7.9200,8.0400,32699572
sh.600000,2022-05-23,8.0600,8.0600,7.9500,7.9500,25527572
sh.600000,2022-05-24,7.9600,7.9700,7.8700,7.8800,26028514
sh.600000,2022-05-25,7.9200,7.9300,7.8500,7.8800,21003364
sh.600000,2022-05-26,7.8900,7.9200,7.8400,7.9000,23401589
sh.600000,2022-05-27,7.9200,8.0100,7.8800,8.0000,31755338
sh.600000,2022-05-30,8.0100,8.0200,7.8700,7.8800,35696257
sh.600000,2022-05-31,7.9000,7.9800,7.8800,7.9400,31750884
sh.600000,2022-06-01,7.9400,7.9400,7.8900,7.9100,18401941
sh.600000,2022-06-02,7.8900,7.9100,7.8700,7.8900,18931116
sh.600000,2022-06-06,7.8700,7.9000,7.8200,7.8600,33010527
sh.600000,2022-06-07,7.8400,7.8900,7.8300,7.8800,30623076
sh.600000,2022-06-08,7.8700,7.8800,7.8300,7.8600,39555666
sh.600000,2022-06-09,7.8600,7.9600,7.8400,7.9500,60606956
sh.600000,2022-06-10,7.9300,8.0500,7.8900,7.9300,123446198
sh.600000,2022-06-13,7.9100,7.9300,7.7400,7.7700,104597235
sh.600000,2022-06-14,7.7400,7.8900,7.7300,7.8700,55047795
sh.600000,2022-06-15,7.8600,8.1300,7.8500,8.0300,112759058
sh.600000,2022-06-16,8.0500,8.0800,7.9200,7.9200,56889689
sh.600000,2022-06-17,7.9100,8.0000,7.8900,7.9700,35612494
sh.600000,2022-06-20,7.9500,7.9800,7.9100,7.9100,30065154
sh.600000,2022-06-21,7.9200,7.9800,7.9200,7.9700,23245677
sh.600000,2022-06-22,7.9600,7.9700,7.9100,7.9200,20635582
sh.600000,2022-06-23,7.9400,7.9700,7.9100,7.9700,23255144
sh.600000,2022-06-24,7.9700,7.9800,7.9300,7.9500,23665322
sh.600000,2022-06-27,7.9500,8.0100,7.9400,7.9700,24067719
sh.600000,2022-06-28,7.9700,8.0400,7.9600,8.0400,25729078
sh.600000,2022-06-29,8.0100,8.0600,8.0000,8.0500,30299747
sh.600000,2022-06-30,8.0500,8.0600,8.0000,8.0100,23369617
sh.600000,2022-07-01,8.0100,8.0400,7.9800,7.9900,17846787
sh.600000,2022-07-04,7.9900,8.0000,7.9400,7.9600,18222009
sh.600000,2022-07-05,7.9600,8.0000,7.9400,7.9800,21322243
sh.600000,2022-07-06,7.9700,7.9800,7.8700,7.9000,28829658
sh.600000,2022-07-07,7.8800,7.9200,7.8600,7.8700,18636395
sh.600000,2022-07-08,7.9000,7.9000,7.8700,7.8800,12379190
sh.600000,2022-07-11,7.8700,7.9000,7.8600,7.8700,16195472
sh.600000,2022-07-12,7.8600,7.9400,7.8600,7.9100,19889798
sh.600000,2022-07-13,7.9300,7.9400,7.8500,7.8500,30506523
sh.600000,2022-07-14,7.8400,7.8600,7.7500,7.7900,40565878
sh.600000,2022-07-15,7.7600,7.8000,7.6500,7.6700,47127632
sh.600000,2022-07-18,7.6800,7.7900,7.6800,7.7900,25164232
sh.600000,2022-07-19,7.7900,7.8200,7.7700,7.8100,28872304
sh.600000,2022-07-20,7.8500,7.8500,7.7700,7.7900,39713402
sh.600000,2022-07-21,7.4000,7.4100,7.3300,7.3300,41541585
sh.600000,2022-07-22,7.3400,7.3800,7.3400,7.3500,19660796
sh.600000,2022-07-25,7.3300,7.3800,7.3300,7.3500,17093960
sh.600000,2022-07-26,7.3600,7.3900,7.3400,7.3800,18730569
sh.600000,2022-07-27,7.3600,7.3700,7.3300,7.3400,17036417
sh.600000,2022-07-28,7.3500,7.3700,7.3200,7.3300,21524372
sh.600000,2022-07-29,7.3500,7.3500,7.2300,7.2600,43873316
sh.600000,2022-08-01,7.2600,7.2800,7.2100,7.2300,24438011
sh.600000,2022-08-02,7.2200,7.2200,7.0700,7.1400,40986083
sh.600000,2022-08-03,7.1300,7.1700,7.0700,7.0700,28144846
sh.600000,2022-08-04,7.0900,7.1000,7.0600,7.0900,21294463
sh.600000,2022-08-05,7.0900,7.1800,7.0800,7.1500,22554203
sh.600000,2022-08-08,7.1700,7.1800,7.1200,7.1200,12981219
sh.600000,2022-08-09,7.1300,7.1500,7.1000,7.1200,13023820
sh.600000,2022-08-10,7.1200,7.1300,7.0800,7.0900,11674742
sh.600000,2022-08-11,7.1200,7.1900,7.1000,7.1800,21910821
sh.600000,2022-08-12,7.1900,7.2600,7.1700,7.2400,22253354
sh.600000,2022-08-15,7.2400,7.2900,7.2000,7.2100,20451392
sh.600000,2022-08-16,7.2100,7.2600,7.1800,7.1900,17910142
sh.600000,2022-08-17,7.2100,7.3000,7.1800,7.2800,20980840
sh.600000,2022-08-18,7.2700,7.2700,7.1900,7.2100,12991819
sh.600000,2022-08-19,7.1800,7.2800,7.1800,7.2000,17544569
sh.600000,2022-08-22,7.1800,7.2400,7.1600,7.2300,13776616
sh.600000,2022-08-23,7.2100,7.2200,7.1700,7.1700,15047471
sh.600000,2022-08-24,7.1700,7.2200,7.1400,7.1500,16855765
sh.600000,2022-08-25,7.1600,7.2200,7.1500,7.2000,15772556
sh.600000,2022-08-26,7.2300,7.2600,7.1800,7.2200,17576235
sh.600000,2022-08-29,7.1600,7.2100,7.1200,7.1500,27600324
sh.600000,2022-08-30,7.1400,7.2000,7.1300,7.1900,22541928
sh.600000,2022-08-31,7.1700,7.2800,7.1500,7.2700,39566130
sh.600000,2022-09-01,7.2300,7.2900,7.2000,7.2300,23298388
sh.600000,2022-09-02,7.2400,7.2700,7.2000,7.2100,19975499
sh.600000,2022-09-05,7.1800,7.2700,7.1400,7.2600,26646247
sh.600000,2022-09-06,7.2500,7.3000,7.2400,7.2600,21866681
sh.600000,2022-09-07,7.2300,7.2600,7.2200,7.2200,16568470
sh.600000,2022-09-08,7.2400,7.2700,7.2200,7.2400,14478347
